DAUID,Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16
35390267,637,0.2180623954,-0.1923392461,-0.2453554881,-0.5766674943,4,3,3,2
35390272,838,1.167580251,1.461408437,-0.7584370783,3.12835219,5,5,1,5
35390273,622,0.3445428174,0.6183065576,-0.7769740136,0.2563285428,4,4,1,4
35390274,403,-0.4637189948,-0.5673965359,0.2481652158,-0.8764620175,3,2,4,1
35390275,363,-0.9834605574,-0.3431803966,0.323852644,-0.468287556,1,3,4,3
35390276,421,-0.9809281531,-0.575729279,0.2284552693,-0.7506829526,1,2,4,2
35390277,346,-0.8937511126,-1.061476412,0.1971828821,-0.2843444444,1,1,4,3
35390278,549,-0.7840718889,-1.262082135,0.4917746959,-0.3352414044,1,1,4,3
35390280,605,-0.4669153168,-0.8655209039,1.400250451,-0.7785952879,3,1,5,2
35390281,431,0.8630616876,-0.2241902228,0.3904097667,-0.2321677804,5,3,4,3
35390282,386,-0.4455476209,-0.070868209,-0.222289812,0.3239927616,3,3,3,4
35390283,453,1.886881217,0.9035659094,-0.3166259942,0.972644973,5,5,3,5
35390284,734,1.100968423,-0.04190296577,0.7126541672,0.4461340786,5,3,5,4
35390285,558,1.395400618,0.2519423834,0.02349352891,0.4900810911,5,4,3,4
35390286,476,-0.3923029888,-0.7616198919,0.3183920089,-0.2612667092,3,2,4,3
35390287,669,1.350636951,0.3454313033,0.2158250251,-0.5345274785,5,4,4,2
35390288,715,2.469972515,1.302875631,0.379079879,-0.1429589886,5,5,4,3
35390289,1282,2.252843669,1.244922951,-0.2889318811,-0.1215696687,5,5,3,3
35390290,372,0.19110566,-0.08435244113,0.4828274796,0.134454285,4,3,4,4
35390291,579,1.056341593,0.08977388999,1.670982884,-0.5345862437,5,4,5,2
35390292,479,0.1404249084,-0.3323563387,0.1987015054,-0.004389879993,4,3,4,4
35390293,263,-0.1895304098,0.1373590411,-0.6436959605,-0.4836069511,3,4,2,3
35390296,831,-0.6537193393,-0.8910692572,0.5885270148,-0.5485988136,2,1,5,2
35390297,387,0.2418340461,-0.3287197101,1.067058341,-1.081746017,4,3,5,1
35390298,958,-1.007289566,-1.046666639,-0.09147592393,-0.5713526951,1,1,3,2
