DAUID,material_deprivation,residential_instability,dependency,ethnic_concentration
35020116,-1.0881975857684125,-0.7641912115158133,-0.6187410075772595,-0.6493632152945433
35020117,-1.0695815852209059,-0.7311953946084025,-0.6516725384863647,-0.6573929196140849
35020118,-0.849732195873672,-1.0328897006890343,-1.2703825095268502,-0.6676292148207085
35020119,-0.9278689886150568,-0.5499808039113913,0.10831876398044676,-0.9933776908442733
35020120,-0.4924852035632666,-0.739256268549226,-0.7131058029645683,-0.8814500912322019
35020121,-0.7533642188787804,-0.3622880952190181,-0.7184634453195569,-0.9336491019312081
35020122,-1.169088627128108,-0.852755452208469,-0.6503871871083793,-0.8450933615341616
35020123,0.9418474572368474,0.22553695347443276,0.598745395804984,-0.850342461247097
35020124,-0.2309066245575676,-0.6455739263278513,-0.5717646210432387,-0.9407821396645991
35020125,-0.15996983730759254,-0.3119709933097702,-0.1479363012191759,-0.826439858198463
35020126,-0.5500076259398174,-0.698194915612568,-0.4905423496533392,-1.03586186424101
35020127,-0.31649832760137575,-0.5725902228474822,0.20331947551495227,-1.077687811787808
35020128,-0.5053049191487653,-0.8579224230275541,-0.2965717941152915,-0.9160509658548013
35020129,-0.7536895701426878,-0.7551718802594091,-0.3186529620963935,-0.9103873974492745
35020130,-0.6224597908342309,-0.7486900409988049,-0.9923681912894788,-0.632332705837771
35020131,0.10991456517107592,0.9307284930340451,1.1531491758952734,-1.2099702166127517
35020132,-0.3961033700681932,0.3299883130078567,-0.2207651861651896,-1.004851806880739
35020133,-1.0320720566487864,-0.8407255728380802,-0.08020281740591875,-0.49477132774990096
35020134,0.8273153337403203,0.7386507244086309,-0.4260560740498159,-0.8115601221266228
35020135,-0.8741616378447506,-0.5557632383211807,-0.49946382669391676,-0.6463058286759864
35020136,-0.08575984184114532,-0.5152653949067985,-0.35094596691146296,-0.9707413143139993
35020137,-0.4663813941832463,0.041341210982454774,0.2360327850902208,-1.1218978480364281
35020138,-0.18487893027487037,-0.6337800612906714,-0.6805850011532029,-1.0451698621678511
35020139,-0.7844907465271118,-0.546601688796418,-0.5929387689829354,-0.9699753561681934
35020140,-0.5779274525872438,-0.6860344081046382,-0.858536338462627,-0.6799536748680509
35020141,-0.9401023889450818,-0.3312326770966254,-0.7088503425930299,-0.5000495839858873
35020142,-0.941964322923097,-0.22516590739170492,-1.1427844040688129,-0.6782297600703324
35020143,-0.7124803313508972,-0.6290451660189171,-0.08813915341226516,-1.2015057342883462
35020144,-0.6289855682987361,-0.9320102668529108,-0.7524375598217243,-0.4306026353985805
